Company,Gründer,Link
Helsing,,https://www.linkedin.com/company/helsing/
Helsing,Torsten Reil,https://www.linkedin.com/in/torstenreil/
Helsing,Niklas Köhler,https://www.linkedin.com/in/niklaskoehler/
Helsing,Gundbert Scherf,https://www.linkedin.com/in/gscherf/
Hintbox,,https://www.linkedin.com/company/hintbox-eu/
Hintbox,Dominik Lienen,https://www.linkedin.com/in/dominik-lienen-582b1a194/
Hintbox,Ubbo Assmus,https://www.linkedin.com/in/dr-ubbo-assmus-18b06890/
Hub2Go GmbH,,https://www.linkedin.com/company/hub2go/about/
Hub2Go GmbH,Jan Maciejanski,https://www.linkedin.com/in/jan-maciejanski-3b45a75/
IdeaFox,,https://www.linkedin.com/company/ideafox/
IdeaFox,Aaron Jost,https://www.linkedin.com/in/aron-jost-9203b085/
Idea-ly,,https://www.linkedin.com/company/idea-ly/
Idea-ly,Niklas Schwichtenberg,https://www.linkedin.com/in/niklasschwichtenberg/
Idea-ly,Yannick Bartholomäus,https://www.linkedin.com/in/yannick-bartholom%C3%A4us/
Idea-ly,Radik Kunciev,https://www.linkedin.com/in/radik-kunciev/
identinet GmbH,,https://www.linkedin.com/company/identinet/about/
identinet GmbH,Jan Christoph Ebersbach,https://www.linkedin.com/in/jcebersbach/
Infinite AI Audio,,https://www.linkedin.com/company/infinimesh-io/
Infinite AI Audio,Bruno Kramm,https://www.linkedin.com/in/bruno-kramm-a5585799/
INHUBBER,,https://www.linkedin.com/company/inhubber/
INHUBBER,Leonid Mechik,https://www.linkedin.com/in/leonid-mechik/
Innoloft,,https://www.linkedin.com/company/innoloft/
Innoloft,Sven Pietsch,https://www.linkedin.com/in/sven-pietsch/
Intuitive AI,,https://www.linkedin.com/company/intuitive-ai/
Intuitive AI,Frank Passing,https://www.linkedin.com/in/frankpassing/
ivicos,,https://www.linkedin.com/company/ivicos-gmbh/
ivicos,Kai-Holger Müller-Kästner,https://www.linkedin.com/in/drkhmk/
ivicos,Thomas Lehr,https://www.linkedin.com/in/thomas-lehr-973b6b99/
ivicos,Michael von Grundherr,https://www.linkedin.com/in/michael-von-grundherr-2688231a5/
Jaimo Solutions GmbH,,https://www.linkedin.com/company/jaimo-solutions-gmbh/
Jaimo Solutions GmbH,Adrian Wabro,https://www.linkedin.com/in/adrianwabro/
LQ Enterprise GmbH,,https://www.linkedin.com/company/lq-enterprise-gmbh/
LQ Enterprise GmbH,Benedikt Frings,https://www.linkedin.com/in/benedikt-frings/
LQ Enterprise GmbH,Tom Lawson,https://www.linkedin.com/in/tom-lawson-ba661434/
